711;712;713;714;715;716;717;718;719
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;Компьютерные технологии#Лунев Д.В.#Актовый зал;##
Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал;Гармонический анализ#Голубов Б.И.#Актовый зал
##;##;Гармон.анализ#Дымарский Я.М.#409  ГК;##;Общая физика#Извекова Ю.Н.#516а ГК;##;Аналит.мех.#Семендяев С.В.#411  ГК;##;##
Дифф. ур.#Киреенков А.А.#522 ГК;Дифф.ур.#Загрядский О.А.#518 ГК;Аналит.мех.#Батхин А.Б.#507а  ГК;Лаборатория полупроводник. приборов##;##;Общая физика: лаб.практикум#Локшин Г.Р._Арсеньев А.Р.#;##;Лаборатория полупроводник. приборов##;Лаборатория полупроводник. приборов##
##;Аналит.мех.#Федичев О.Б.#512 ГК;##;Лаборатория полупроводник. приборов##;##;Общая физика: лаб.практикум#Локшин Г.Р._Арсеньев А.Р.#;Гармон.анализ#Черняев А.П.#432  ГК;Лаборатория полупроводник. приборов##;Лаборатория полупроводник. приборов##
