7101;7102;7103
Биология#Граф А.А.#;Биология#Граф А.А.#;Ин.яз.##
Биология##;Биология##;Ин.яз.##
Ин.яз.##;Ин.яз.##;Дифф. ур.#Аллилуева А.И.#
Ин.яз.##;Ин.яз.##;Дифф. ур.##
##;##;##
Биологические макромолекулы и их функции#Лопина О.Д.#;Биологические макромолекулы и их функции#Лопина О.Д.#;##
##;##;##
Ин.яз.##;Ин.яз.##;Общая физ.:оптика и атом.физика#Строев А.Ю.#
Общая физика: оптика##;Общая физика: оптика##;Общая физика: оптика и атом.физика##
Правоведение##;Правоведение##;Правоведение##
Общая физика: оптика#Ситников М.Г.#;Общая физика: оптика#Ситников М.Г.#;Теория поля##
##;##;Теория поля##
Учебная практика##;Учебная практика##;Учебная практика##
##;##;##
Дифференциальные уравнения#Аникин А.Ю.#;Дифференциальные уравнения#Аникин А.Ю.#;Ин.яз.##
Теория функций комплексного переменного#Толченников А.А.#;Теория функций комплексного переменного#Толченников А.А.#;Теория функций комплексного переменного#Толченников А.А.#
ТФКП##;ТФКП##;Общая геометрия и топология#Шафаревич А.И.#
##;##;Общая геометрия и топология#Шафаревич А.И.#
Природоподобные энергет.техн.и возобновл.энергия#Фатеев В.Н.#;Природоподобные энергет.техн.и возобновл.энергия#Фатеев В.Н.#;Общая геометрия и топология#Шафаревич А.И.#
##;##;##
##;##;##
Общая физика: лаб.практикум#Берюлева Н.С._Лобачев В.В.#;Общая физика: лаб.практикум#Морозов Е.Н._Шеронов А.А.#;Общая физика: лаб.практикум#Овчинников К.А._Нухов А.К.#
Общая физика: лаб.практикум#Берюлева Н.С._Лобачев В.В.#;Общая физика: лаб.практикум#Морозов Е.Н._Шеронов А.А.#;Общая физика: лаб.практикум#Овчинников К.А._Нухов А.К.#
##;##;##
##;##;##
##;##;##
##;##;##
##;##;##
Аналитическая механика#Казаков К.А.#;Аналитическая механика#Казаков К.А.#;Комплексный анализ##
##;##;Комплексный анализ##
Аналитическая механика##;Дифф. ур.##;Операционной системы UNIX##
Дифф. ур.##;Аналитическая механика##;Операционной системы UNIX##
Программные интерфейсы операционной системы UNIX##;Программные интерфейсы операционной системы UNIX##;##
Программные интерфейсы операционной системы UNIX##;Программные интерфейсы операционной системы UNIX##;##
##;##;##
##;##;Применение програм-х комплексов к решению задач##
##;##;Применение програм-х комплексов к решению задач##
##;##;##
##;##;##
##;##;##
##;##;##
##;##;##
