7111;7112;7113;7114;7115
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
##;##;##;##;##
Общая физика#Долгих В.А.#522 ГК;Общая физика: лаб.практикум#Извекова Ю.Н._Чивилев В.И.#;Информатика#Хламов М.А.#321 ЛК;Общая физика#Бабинцев В.А.#514 ГК;Общая физика: лаб.практикум#Судаков О.А._Морозов Е.Н.#
##;Общая физика: лаб.практикум#Извекова Ю.Н._Чивилев В.И.#;Информатика#Хламов М.А.#321 ЛК;Физическая химия: лаб.практикум##;Общая физика: лаб.практикум#Судаков О.А._Морозов Е.Н.#
##;Гармон.анализ#Тер-Крикоров А.М.#528 ГК;##;Физическая химия: лаб.практикум##;Общая физика##514 ГК
Общая физика: лаб.практикум#Долгих В.А._Бабинцев В.А.#;Общая физика#Чивилев В.И.#523 ГК;Общая физика: лаб.практикум#Дьяков Н.В._Зеленый М.Е.#;Физ.химия##530 ГК;Дифф.ур.#Голованов Ю.В.#414 ГК
Общая физика: лаб.практикум#Долгих В.А._Бабинцев В.А.#;##;Общая физика: лаб.практикум#Дьяков Н.В._Зеленый М.Е.#;##;##
Информатика#Воронцов И.А.#706 КПМ;##;##;##;##
Информатика#Воронцов И.А.#706 КПМ;##;##;##;##
##;##;Теор.поля#Иванов М.Г.#525 ГК;Общая физика: лаб.практикум#Никулин М.Г._Чивилев В.И.#;Физическая химия: лаб.практикум##
##;Теор.поля#Огарков С.Л.#511 ГК;##;Общая физика: лаб.практикум#Никулин М.Г._Чивилев В.И.#;Физическая химия: лаб.практикум##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Теор.поля#Огарков С.Л.#"Арктика" № 425;Физическая химия: лаб.практикум##;Общая физика#Ситников М.Г.#516а ГК;##;Теор.поля#Иванов М.Г.#414 ГК
##;Физическая химия: лаб.практикум##;##;Теор.поля#Огарков С.Л.#"Арктика" №425;##
##;##;##;##;##
##;##;##;##;##
Теория поля#Иванов М.Г.#"Арктика" Поточная аудитория 4 этажа;Теория поля#Иванов М.Г.#"Арктика" Поточная аудитория 4 этажа;Теория поля#Иванов М.Г.#"Арктика" Поточная аудитория 4 этажа;Теория поля#Иванов М.Г.#"Арктика" Поточная аудитория 4 этажа;Теория поля#Иванов М.Г.#"Арктика" Поточная аудитория 4 этажа
Биоорганическая и биологическая химия#Куликов Е.Е.#202 НК;Биоорганическая и биологическая химия#Куликов Е.Е.#202 НК;Биоорганическая и биологическая химия#Куликов Е.Е.#202 НК;Биоорганическая и биологическая химия#Куликов Е.Е.#202 НК;Биоорганическая и биологическая химия#Куликов Е.Е.#202 НК
Гармон.анализ#Лапушански М.С.#530 ГК;Информатика#Герцев М.Н.#324б ЛК;Физическая химия: лаб.практикум##;##;##
##;Информатика#Герцев М.Н.#324б ЛК;Физическая химия: лаб.практикум##;Дифф.ур.#Сакбаев В.Ж.#420 ГК;Информатика#Кучин А.И.#702 КПМ
Физическая химия: лаб.практикум##;##;##;##;Информатика#Кучин А.И.#702 КПМ
Физическая химия: лаб.практикум##;Физ.химия##412 ГК;##;Информатика#Юдаев М.Д.#321 ЛК;##
##;##;##;Информатика#Юдаев М.Д.#321 ЛК;##
Гармонический анализ#Сакбаев В.Ж.#202 НК;Гармонический анализ#Сакбаев В.Ж.#202 НК;Гармонический анализ#Сакбаев В.Ж.#202 НК;Гармонический анализ#Сакбаев В.Ж.#202 НК;Гармонический анализ#Сакбаев В.Ж.#202 НК
Информатика#Хирьянов Т. Ф.#202 НК;Информатика#Хирьянов Т. Ф.#202 НК;Информатика#Хирьянов Т. Ф.#202 НК;Информатика#Хирьянов Т. Ф.#202 НК;Информатика#Хирьянов Т. Ф.#202 НК
Дифф.ур.#Козицин И.В.#530 ГК;Дифф.ур.#Лапушански М.С.#"Арктика"№ 418-419;Гармон.анализ#Ждановский И.Ю.#426 ГК;Гармон.анализ#Сакбаев В.Ж.#409 ГК;Гармон.анализ#Тер-Крикоров А.М.#531 ГК
##;##;##;##;##
##;##;##;##;##
Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ;Математическая статистика#Райгородский А.М.#115 КПМ
##;##;##;##;##
##;##;##;##;##
Физическая химия##Б.Физ.;Физическая химия##Б.Физ.;Физическая химия##Б.Физ.;Физическая химия##Б.Физ.;Физическая химия##Б.Физ.
Дифференциальные уравнения#Свирщевский С.Р.#115 КПМ;Дифференциальные уравнения#Свирщевский С.Р.#115 КПМ;Дифференциальные уравнения#Свирщевский С.Р.#115 КПМ;Дифференциальные уравнения#Свирщевский С.Р.#115 КПМ;Дифференциальные уравнения#Свирщевский С.Р.#115 КПМ
Ин.яз##;Ин.яз##;Ин.яз##;Ин.яз##;Ин.яз##
Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.
##;##;Дифф.ур.#Лизунов А.Ю.#417 ГК;##;##
##;##;##;##;##
