721;722;723;724;725;726;727
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##;Базовый день##
##;##;Теор.поля#Ахмедов Э.Т.#515 ГК;Аналит.мех.#Сахаров А.В.#412 ГК;##;##;##
Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК;Теория поля#Герштейн С.С.#123 ГК
Аналит.мех.#Батхин А.Б.#507а  ГК;Общая физика#Судаков О.А.#515 ГК;##;##;Аналит.мех.#Сахаров А.В.#416 ГК;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
##;##;Гармон.анализ#Лукашов А.Л.#422 ГК;##;##;Гармон.анализ#Загрядский О.А.#524 ГК;##
##;##;Гармон.анализ##422 ГК;##;##;Гармон.анализ#Загрядский О.А.#524 ГК;##
##;##;##;##;##;##;##
Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ
Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ;Гармонический анализ#Карасёв Р.Н.#115 КПМ
##;Дифф.ур.#Подлипский О.К.#414  ГК;##;##;Гармон.анализ#Загрядский О.А.#432 ГК;Аналит.мех.#Сахаров А.В.#428 ГК;##
Общая физика: лаб.практикум#Бабинцев В.А._Лапушкин Г.И.#;Гармон.анализ#Карасев Р.Н.#420 ГК;Общая физика#Колдунов Л.М.#507а ГК;Общая физика: лаб.практикум#Виноградов С.В._Судаков О.А.#;Гармон.анализ#Загрядский О.А.#432 ГК;Дифф.ур.#Егоров А.И.#117 ГК;Общая физика: лаб.практикум#Воронов А.А._Кириллов В.П.#
Общая физика: лаб.практикум#Бабинцев В.А._Лапушкин Г.И.#;Гармон.анализ#Карасев Р.Н.#420 ГК;Дифф.ур.#Самарова С.С.#426  ГК;Общая физика: лаб.практикум#Виноградов С.В._Судаков О.А.#;Дифф.ур.#Загрядский О.А.#432 ГК;##;Общая физика: лаб.практикум#Воронов А.А._Кириллов В.П.#
##;##;##;##;##;##;Общая физика#Воронов А.А.#507а ГК
##;##;##;##;##;##;##
##;##;##;##;##;##;##
Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.;Общая физика:оптика#Петухов В.А.#Гл.Физ.
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Гармон.анализ#Тюленев А.И.#416 ГК;##;##;Дифф.ур.#Пыркова О.А.#413  ГК;##;Теор.поля#Дорофеенко А.В.#521 ГК;##
Гармон.анализ#Тюленев А.И.#416 ГК;Теор.поля#Дорофеенко А.В.#514 ГК;##;Гармон.анализ#Тюленев А.И.#416 ГК;##;##;##
##;##;##;Гармон.анализ#Тюленев А.И.#416 ГК;##;##;##
##;##;##;##;##;##;##
##;Общая физика: лаб.практикум#Коротеев Г.А._Никулин М.Г.#;##;##;Общая физика: лаб.практикум#Александров Д.А._Кобякин А.С.#;##;##
Дифф.ур.#Лапушански М.С.#Арктика"№ 418-419;Общая физика: лаб.практикум#Коротеев Г.А._Никулин М.Г.#;Аналит.мех.#Сидоренко В.В.#413 ГК;Общая физика#Виноградов С.В.#530 ГК;Общая физика: лаб.практикум#Александров Д.А._Кобякин А.С.#;Общая физика#Мейлохов Е.З.#523 ГК;Теор.поля#Крайнов В.П.#522 ГК
Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал;Аналитическая механика#Маркеев А.П.#Акт.зал
##;##;##;##;##;##;##
Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК;Дифференциальные уравнения#Семенов А.Ю.#202 НК
##;##;##;##;Общая физика#Александров Д.А.#527 ГК;##;Гармон.анализ#Савелов М.П.#426 ГК
##;##;##;##;##;##;Гармон.анализ#Савелов М.П.#426 ГК
Общая физика#Кленов С.Л.#513 ГК;##;##;##;Теор.поля#Гозман М.И.#528 ГК;##;Аналит.мех.#Соколов С.В.#414 ГК
##;Аналит.мех.#Соколов С.В.#414 ГК;##;##;##;##;##
Теор.поля#Гозман М.И.#419 ГК;##;##;Теор.поля#Андрианов Е.С.#413 ГК;##;##;Дифф.ур.#Семенов А.Ю.#516  ГК
##;##;Общая физика: лаб.практикум#Филатов Ю.Н._Кленов С.Л.#;##;##;Общая физика: лаб.практикум#Чубич Д.А._Кобякин А.С.#;##
##;##;Общая физика: лаб.практикум#Филатов Ю.Н._Кленов С.Л.#;##;##;Общая физика: лаб.практикум#Чубич Д.А._Кобякин А.С.#;##
##;##;##;##;##;##;##
##;##;##;##;##;##;##
