731а;731б;732а;732б;733;734;735;736;737;738
##;##;##;##;##;##;##;##;Экономика#Киреев В.Б.#"Арктика"№ 418-419;Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#
##;##;##;##;##;##;##;##;##;Общая физика: лаб.практикум#Копнин С.И._Копнин С.И.#
##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;##
##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;##
##;##;##;##;##;##;##;##;Теория и технология программир.#Герцев М.Н.#320 ЛК;Теория и технология программир.#Максимов Е.С.#320 ЛК
##;##;##;##;##;##;##;##;##;Теория и технология программир.#Максимов Е.С.#320 ЛК
##;##;##;##;##;##;##;##;##;Теория и технология программир.#Максимов Е.С.#320 ЛК
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ
Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;Аналитическая механика#Амелькин Н.И.#202 НК;##;Гармон.анализ#Бурцев А.А.#525 ГК
##;##;##;##;Аналит.мех.#Амелькин Н.И.#529 ГК;##;Гармон.анализ#Петрович А.Ю.#424 ГК;Общая физика#Быков А.А.#524 ГК;##;##
Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;##;Введ.в МСС (для 732 б гр.)##105 ЛК;##;Гармон.анализ#Петрович А.Ю.#424 ГК;##;##;Дифф.уравн.#Киреенков А.А.#521 ГК;##
Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;Прикладные физ.-тех. и комп.методы исследований:лаб.практ.##107 ЛК;##;##;##;Дифф.ур.#Петрович А.Ю.#424  ГК;##;Введение в МСС##409 ГК;##;##
##;##;##;##;##;##;##;##;##;##
