752;753;754;755
##;##;##;##
##;##;##;##
##;##;##;##
##;##;##;##
##;##;##;##
##;##;##;##
##;##;##;##
##;Гармон.анализ#Голованов Ю.В.#411  ГК;##;##
Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ;Гармонический анализ#Петрович А.Ю.#115 КПМ
Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК;Теория вероятностей#Булинский А.В.#113 ГК
Теор.вер.#Булинский А.В.#409 ГК;##;Дифф.ур.#Глухов И.В.#117 ГК;##
Общая физика#Морозов Е.Н.#530 ГК;Теор.вер.#Булинский А.В.#411  ГК;##;Аналит.мех.#Ханукаев Ю.И.#511  ГК
##;##;##;##
##;##;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Гармон.анализ#Петрович А.Ю.#422  ГК;##;##;Гармон.анализ#Умнов А.Е.#418  ГК
Дифф.ур.#Петрович А.Ю.#422 ГК;##;##;Дифф.ур.#Умнов А.Е.#418 ГК
##;Общая физика: лаб.практикум#Седельников Е.В._Чивилев В.И.#;Компьютерные технологии##705 КПМ;##
##;Общая физика: лаб.практикум#Седельников Е.В._Чивилев В.И.#;Компьютерные технологии##705 КПМ;Общая физика#Лейман В.Г.#522 ГК
##;Общая физика#Седельников Е.В.#523 ГК;##;##
##;##;##;##
Вакуумная электроника##;Вакуумная электроника##;Общая физика: лаб.практикум#Чешев Ю.В._Смирнова О.И.#;##
Вакуумная электроника##;Вакуумная электроника##;Общая физика: лаб.практикум#Чешев Ю.В._Смирнова О.И.#;Теор.вер.#Булинский А.В.#409  ГК
##;##;##;##
Общая физика: лаб.практикум#Морозов Е.Н._Ильин А.В.#;Дифф.ур.#Умнов Е.А.#526 ГК;Гармон.анализ#Шомполов И.Г.#529 ГК;Общая физика: лаб.практикум#Лапушкин Г.И._Нухов А.К.#
Общая физика: лаб.практикум#Морозов Е.Н._Ильин А.В.#;##;Теор.вер.#Булинский А.В.#412  ГК;Общая физика: лаб.практикум#Лапушкин Г.И._Нухов А.К.#
##;Компьютерные технологии#Пудгородский Ю.А.#706 КПМ;Вакуумная электроника##;Вакуумная электроника##
##;Компьютерные технологии#Пудгородский Ю.А.#706 КПМ;Вакуумная электроника##;Вакуумная электроника##
##;##;##;##
##;##;##;##
Аналитическая механика#Муницына М.А.#202 НК;Аналитическая механика#Муницына М.А.#202 НК;Аналитическая механика#Муницына М.А.#202 НК;Аналитическая механика#Муницына М.А.#202 НК
Компьютерные технологии#Муратов М.В.#705 КПМ;##;##;Компьютерные технологии#Петров Д.И.#706 КПМ
Компьютерные технологии#Муратов М.В.#705 КПМ;##;Аналит.мех.#Муницына М.А.#414 ГК;Компьютерные технологии#Петров Д.И.#706 КПМ
##;##;##;##
##;##;##;##
##;##;Общая физика#Кобякин А.С.#512 ГК;##
##;Аналит.мех.#Зараменских#413 ГК;##;##
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК;Дифференциальные уравнения#Умнов А.Е.#239 НК
Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.;Общая физика: оптика#Гавриков А.В.#Гл.Физ.
Аналит.мех.#Муницына М.А.#411 ГК;##;##;##
##;##;##;##
