790;791;792;793;794;795;796;797;798;799;7910
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
##;##;##;##;##;##;##;##;##;##;##
Общая физика: лаб.практикум#Локшин Г.Р._Ильин А.В.#;Общая физика: лаб.практикум#Кириллов В.П._Ткаченко С.И.#;Общая физика: лаб.практикум#Никулин М.Г._Овчинников К.А.#;Общая физика: лаб.практикум#Чешев И.В._Абрамов Б.М.#;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;##;##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##
Общая физика: лаб.практикум#Локшин Г.Р._Ильин А.В.#;Общая физика: лаб.практикум#Кириллов В.П._Ткаченко С.И.#;Общая физика: лаб.практикум#Никулин М.Г._Овчинников К.А.#;Общая физика: лаб.практикум#Чешев И.В._Абрамов Б.М.#;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;##;Теор.колец и полей##523 ГК;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##;Концепции и мод.физики: лаб.практикум##
Дискр.стр.##413 ГК;##;##;##;##;Конц. и мд.физ.##512 ГК;Теор.колец и полей##523 ГК;Дифф.ур.#Загрядский О.А.#518 ГК;##;Гармон.ан.#Глухов И.В.#418  ГК;##
##;Гармон.ан.#Лукашов А.Л.#422 ГК;Дискр.структ.##430 ГК;Дифф.ур.#Терешин Д.А.#418 ГК;Дифф.ур.#Черняев А.П.#432 ГК;##;Дифф.ур.#Тер-Крикоров А.М.#528 ГК;##;##;##;Теор.вер.##420 ГК
Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##;Ин.яз.##
##;Аналит.мех.#Ханукаев Ю.И.#511 ГК;##;##;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ;Дискретный анализ#Райгородский А.М.#115 КПМ
##;##;##;##;##;##;##;##;##;##;##
Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##
Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##;Занятия в г. Москве##
